#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint
bofetada,2,4,3,1
violento,3,4,2,1
mensaje,2,4,1,3
mudo,3,4,1,2
envuelto,1,4,3,2
chantaje,2,4,3,1
almohada,1,4,3,2
caballo,2,4,3,1
correr,3,4,1,2
cinturon,3,4,1,2
sabanas,1,4,3,2
cepillo,1,4,2,3
abuso,2,4,3,1
maltrato,2,4,3,1
collar,1,4,2,3
corteza,2,4,1,3
propio,1,4,3,2
texto,2,4,1,3
calumnia,2,4,3,1
risa,3,4,1,2
peluqueria,2,4,1,3
jabon,1,4,2,3
silencio,3,4,1,2
acusar,2,4,3,1
perro,2,4,3,1
gato,2,4,3,1
imposible,1,4,3,2
estilista,2,4,1,3
hambriento,3,4,1,2
tranquilo,3,4,1,2
malversacion,2,4,3,1
acondicionador,1,4,2,3
anhelo,1,4,3,2
denunciar,1,4,3,2
pegatinas,2,4,1,3
desayuno,3,4,2,1
adornar,1,4,2,3
bacon,3,4,2,1
bolso,1,4,2,3
mascota,2,4,1,3
moda,3,4,1,2
molestia,1,4,3,2
mochila,1,4,2,3
comprender,3,4,2,1
articulado,1,4,2,3
accesorios,1,4,2,3
joyas,1,4,2,3
blasfemia,1,4,3,2
pertenecer,1,4,3,2
corte de pelo,2,4,1,3
zas,3,4,2,1
vicioso,2,4,3,1
molesto,1,4,3,2
blasfemia,1,4,3,2
red,2,4,1,3
pony,2,4,1,3
tarjetas,2,4,1,3
llevar,1,4,2,3
fiable,1,4,2,3
inanicion,3,4,1,2
fastidiar,2,4,3,1
embutido,2,4,1,3
contener,1,4,2,3
morder,2,4,3,1
ignorar,2,4,3,1
contradiccion,1,4,3,2
erratico,2,4,3,1
pan,3,4,2,1
choque,2,4,3,1
limpio,2,4,3,1
equivocado,2,4,3,1
miau,3,4,2,1
frustracion,1,4,3,2
escalera,3,4,1,2
confirmar,3,4,2,1
tragar,3,4,1,2
burla,2,4,3,1
determinacion,2,1,4,3
suicidio,3,1,4,2
imaginacion,3,1,4,2
secreto,3,2,4,1
vitalidad,1,3,4,2
existencia,2,1,4,3
efulgente,3,2,4,1
carmesi,3,2,4,1
torbellino,3,2,4,1
remanente,3,2,4,1
vertigo,1,3,4,2
desorientado,3,1,4,2
esencia,2,1,4,3
ambiente,2,1,4,3
estelar,2,1,4,3
desorden,3,2,4,1
contaminacion,3,2,4,1
intelectual,2,1,4,3
analisis,2,1,4,3
entropia,1,2,4,3
vivaz,3,2,4,1
desconocido,3,2,4,1
incongruente,2,1,4,3
ira,3,2,4,1
cielos,2,1,4,3
masacre,3,2,4,1
filosofia,2,1,4,3
voluble,3,1,4,2
tenaz,3,1,4,2
aura,2,1,4,3
inestable,3,1,4,2
infierno,3,2,4,1
incapaz,3,2,4,1
destino,2,1,4,3
infalible,2,1,4,3
agonizante,3,1,4,2
varianza,3,1,4,2
incontrolable,3,1,4,2
extremo,2,1,4,3
huir,3,2,4,1
aspiracion,2,1,4,3
desastre,3,1,4,2
vivido,3,1,4,2
vibrante,1,3,4,2
pregunta,1,2,4,3
amargarse,3,2,4,1
juicio,2,1,4,3
jaula,1,2,4,3
explotar,2,3,4,1
complacer,1,3,4,2
lujuria,1,3,4,2
sensacion,1,3,4,2
climax,1,3,4,2
electricidad,1,2,4,3
repudiar,3,1,4,2
desprecio,3,2,4,1
infinito,2,1,4,3
eternidad,2,1,4,3
tiempo,2,1,4,3
universo,2,1,4,3
interminable,2,1,4,3
gotas,3,1,4,2
codiciar,1,3,4,2
desenfrenado,3,1,4,2
paisaje,2,1,4,3
retrato,2,1,4,3
viaje,3,1,4,2
magro,3,1,4,2
ansiedad,3,2,4,1
miedo,3,1,4,2
horror,3,1,4,2
melancolia,3,1,4,2
perspicacia,2,1,4,3
expiar,3,1,4,2
respirar,1,3,4,2
cautivo,3,1,4,2
deseo,1,3,4,2
cementerio,3,2,4,1
orion,1,3,4,2
retumbar,2,3,4,1
medalla,2,3,4,1
vacilante,3,1,4,2
desmoronarse,1,3,4,2
atmosfera,1,2,4,3
nuclear,1,2,4,3
hercules,1,3,4,2
proliferar,2,3,4,1
escaso,3,1,4,2
enigma,1,3,4,2
invasor,2,3,4,1
simulacro,3,2,4,1
abismo,1,2,4,3
disolucion,1,3,4,2
espontaneo,1,3,4,2
iluminacion,3,2,4,1
indagar,1,2,4,3
interrogar,1,2,4,3
presuponer,1,2,4,3
estructurado,1,2,4,3
logico,1,2,4,3
fundamental,2,3,4,1
aroma,1,2,4,3
hoja,2,3,4,1
primario,3,2,4,1
establecido,2,1,4,3
olor,1,2,4,3
indicacion,2,3,4,1
espiritu,2,1,4,3
corte,2,3,4,1
clandestino,1,3,4,2
conjuro,3,1,4,2
gravedad,2,1,4,3
redimir,3,1,4,2
afrodita,1,3,4,2
ilusion,2,1,4,3
fluctuar,2,1,4,3
linterna,3,2,4,1
nervio,3,2,4,1
arcano,1,3,4,2
indeseable,2,3,4,1
principio,1,2,4,3
receptaculo,1,2,4,3
premio,2,3,4,1
mango,2,3,4,1
intimo,1,3,4,2
divergir,1,3,4,2
nulo,1,2,4,3
incandescente,3,2,4,1
consulta,1,2,4,3
material,1,2,4,3
saborear,1,3,4,2
brillante,2,1,4,3
borde,2,3,4,1
centellear,3,2,4,1
desaparecer,1,3,4,2
conectar,2,3,4,1
incognoscible,1,3,4,2
despertar,1,3,4,2
natural,2,3,4,1
huracan,3,1,4,2
diploma,2,3,4,1
disculpar,3,1,4,2
condenar,3,2,4,1
cuchillo,2,3,4,1
descuidado,3,2,4,1
observacion,2,3,4,1
conservado,2,3,4,1
deshabitado,2,3,4,1
abismo,1,2,4,3
antagonizar,3,2,4,1
exacerbar,3,1,4,2
despertar,1,3,4,2
resentir,3,2,4,1
coherente,1,2,4,3
arrastrarse,2,1,4,3
insinuacion,2,3,4,1
lograr,2,3,4,1
clave,1,3,4,2
encerrado,1,3,4,2
terror,3,1,4,2
quantum,1,2,4,3
suciedad,3,2,4,1
representar,3,1,4,2
edipo,1,3,4,2
coito,1,3,4,2
direccion,2,3,4,1
reverberar,2,3,4,1
salida,1,2,4,3
magnetico,2,1,4,3
trofeo,2,3,4,1
vortice,3,2,4,1
petrificado,3,2,4,1
retratar,3,1,4,2
detonar,2,3,4,1
ineludible,3,1,4,2
atraer,2,1,4,3
dispuesto,1,2,4,3
simbolismo,2,3,4,1
intrincado,2,1,4,3
efusivo,1,2,4,3
improbable,1,2,4,3
intacto,2,3,4,1
gargantuesco,1,2,4,3
inmovil,3,1,4,2
tormenta,3,1,4,2
explosion,2,3,4,1
avido,1,3,4,2
criminal,2,3,4,1
aparato,1,2,4,3
cascada,1,2,4,3
malinterpretar,1,3,4,2
distorsionar,1,3,4,2
prehistoria,2,3,4,1
cohesivo,1,2,4,3
predicado,1,2,4,3
compulsivo,2,1,4,3
seducir,1,3,4,2
fantasma,2,1,4,3
comparar,2,1,4,3
colapsar,2,1,4,3
converger,2,1,4,3
forzar,2,3,4,1
falso,3,1,4,2
corrupcion,2,3,4,1
conformarse,2,1,4,3
agudo,2,3,4,1
olimpico,2,3,4,1
improvisado,1,3,4,2
privado,1,3,4,2
apto,1,2,4,3
dionisio,1,3,4,2
brillo,3,2,4,1
tension,1,2,4,3
implicacion,2,3,4,1
significar,2,3,4,1
espada,2,3,4,1
enmendar,3,1,4,2
marginado,3,1,4,2
trueno,3,1,4,2
cavidad,1,2,4,3
singularidad,1,3,4,2
jazmin,1,2,4,3
corriente,1,2,4,3
destruccion,1,3,4,2
pervertido,2,3,4,1
salvacion,3,2,4,1
luminaria,3,2,4,1
hueco,1,2,4,3
demanda,1,2,4,3
mutable,3,1,4,2
combustionar,2,3,4,1
resistir,1,2,4,3
aquiles,1,3,4,2
limbo,3,2,4,1
grupo,2,1,4,3
inflexible,2,1,4,3
incienso,1,2,4,3
instinto,3,2,4,1
pulsacion,1,3,4,2
compromiso,3,1,4,2
resonar,2,3,4,1
arder,1,2,4,3
infantil,3,2,4,1
sombrio,3,1,4,2
apropiado,1,2,4,3
traumatizar,3,1,4,2
miserable,3,2,4,1
purgatorio,3,2,4,1
sisifo,1,3,4,2
aborrecer,3,2,4,1
espiral,3,2,4,1
triunfante,2,3,4,1
continental,3,2,1,4
viola,3,1,2,4
envidia,3,1,2,4
futuro,3,1,2,4
confianza,3,2,1,4
ardor,3,2,1,4
omnisciencia,3,1,2,4
anhelo,3,2,1,4
realidad,3,1,2,4
proporcionar,3,2,1,4
salida,3,2,1,4
apoyo,3,2,1,4
idolo,3,1,2,4
violin,3,1,2,4
separado,3,2,1,4
camino,3,2,1,4
generoso,3,1,2,4
inadecuado,3,2,1,4
espacio,3,1,2,4
piano,3,1,2,4
finito,3,1,2,4
encrucijada,3,2,1,4
estres,3,2,1,4
reputacion,3,1,2,4
ruta,3,2,1,4
benevolente,3,1,2,4
empoderado,3,1,2,4
destino,3,1,2,4
gregario,3,2,1,4
alma,3,1,2,4
celos,3,2,1,4
motivacion,3,2,1,4
eleccion,3,2,1,4
amable,3,1,2,4
deber,3,1,2,4
oboe,3,1,2,4
distancia,3,2,1,4
modelo,3,1,2,4
mejorar,3,2,1,4
paciencia,3,1,2,4
presion,3,1,2,4
extrovertido,3,2,1,4
arrepentirse,3,1,2,4
responsabilidad,3,2,1,4
desesperacion,3,2,1,4
social,3,2,1,4
voluntad,3,2,1,4
amable,3,2,1,4
productivo,3,2,1,4
abandonar,3,1,2,4
intenciones,3,1,2,4
educado,3,1,2,4
libertad,3,2,1,4
trompeta,3,1,2,4
abandono,3,1,2,4
consejo,3,2,1,4
revelacion,3,1,2,4
conocimiento,3,2,1,4
deshacer,3,1,2,4
renunciar,3,1,2,4
interesante,3,2,1,4
perfeccionista,3,2,1,4
popular,3,1,2,4
invitacion,3,2,1,4
servicial,3,2,1,4
flauta,3,1,2,4
inseparable,3,2,1,4
desistir,3,1,2,4
fachada,3,1,2,4
existencial,3,1,2,4
despreciable,3,2,1,4
recurso,3,2,1,4
irracional,3,2,1,4
inferior,3,2,1,4
festival,3,2,1,4
violonchelo,3,1,2,4
lucha,3,2,1,4
visita,3,2,1,4
liderazgo,3,1,2,4
presidente,3,1,2,4
perfecto,3,1,2,4
fuerza,3,2,1,4
club,3,1,2,4
autoridad,3,1,2,4
convencer,1,3,2,4
cuaderno,1,3,2,4
presentar,2,3,1,4
escapada,2,3,1,4
aplaudir,2,3,1,4
borrar,1,3,2,4
inigualable,1,3,2,4
desemejante,1,3,2,4
diligente,2,3,1,4
juicioso,1,3,2,4
manuscrito,1,3,2,4
justificado,1,3,2,4
opinion,1,3,2,4
verdad,1,3,2,4
compilar,1,3,2,4
manzana,2,3,1,4
prestigio,2,3,1,4
identidad,1,3,2,4
balompie,2,3,1,4
atletismo,2,3,1,4
escribir,1,3,2,4
solipsismo,2,3,1,4
binario,1,3,2,4
perseverar,2,3,1,4
pruebas,1,3,2,4
tenis,2,3,1,4
exito,2,3,1,4
perseverancia,2,3,1,4
artistico,2,3,1,4
futbol,2,3,1,4
individual,1,3,2,4
presentacion,2,3,1,4
destreza,2,3,1,4
tacto,1,3,2,4
verduras,2,3,1,4
cosechador,2,3,1,4
talento,2,3,1,4
crossover,2,3,1,4
cafe,2,3,1,4
simulacion,2,3,1,4
entonacion,2,3,1,4
linea,1,3,2,4
continuidad,2,3,1,4
conclusion,2,3,1,4
lapiz,1,3,2,4
oponer,1,3,2,4
tinta,1,3,2,4
natacion,2,3,1,4
restaurante,2,3,1,4
carisma,2,3,1,4
trabajador,2,3,1,4
deportes,2,3,1,4
reajuste,2,3,1,4
debate,1,3,2,4
grabar,1,3,2,4
restitucion,1,3,2,4
posicion,1,3,2,4
baloncesto,2,3,1,4
caligrafia,1,3,2,4
utensilio,1,3,2,4
procesar,1,3,2,4
cepillar,1,3,2,4
teclado,1,3,2,4
argumento,1,3,2,4
distinto,1,3,2,4
papel,1,3,2,4
caracter,2,3,1,4
esfuerzo,2,3,1,4
justicia,1,3,2,4
precedente,1,3,2,4
comida,2,3,1,4
papeleria,1,3,2,4
espacio,1,3,2,4
calamar,2,3,1,4
definido,1,3,2,4
alegato,1,3,2,4
pluma,1,3,2,4
programacion,1,3,2,4
valor,2,3,1,4
diccion,2,3,1,4
competir,2,3,1,4
sandia,2,3,1,4
codigo,1,3,2,4
trascender,2,3,1,4
libro,1,2,3,4
sensibilidad,2,1,3,4
zafiro,2,1,3,4
poema,1,2,3,4
periferia,2,1,3,4
mentalidad,2,1,3,4
distinguido,1,2,3,4
musa,1,2,3,4
apoyo,1,2,3,4
artificial,2,1,3,4
independiente,2,1,3,4
python,2,1,3,4
soledad,2,1,3,4
abstracto,2,1,3,4
letargo,2,1,3,4
paralelo,1,2,3,4
orquesta,1,2,3,4
impotente,2,1,3,4
diamante,2,1,3,4
obra,1,2,3,4
sustento,2,1,3,4
imagenes,2,1,3,4
clarividente,2,1,3,4
formal,1,2,3,4
visualizar,2,1,3,4
grandioso,1,2,3,4
autoconsciente,2,1,3,4
linguistico,1,2,3,4
uniforme,1,2,3,4
sinfonia,1,2,3,4
personalidad,1,2,3,4
cordial,1,2,3,4
atento,2,1,3,4
ambivalente,2,1,3,4
ubuntu,2,1,3,4
meditar,2,1,3,4
desconectar,2,1,3,4
estudiar,1,2,3,4
facultad,1,2,3,4
significado,1,2,3,4
armonia,1,2,3,4
epifania,2,1,3,4
esmeralda,2,1,3,4
perpetuar,2,1,3,4
esoterico,1,2,3,4
descubrir,1,2,3,4
acorde,1,2,3,4
flematico,1,2,3,4
poesia,1,2,3,4
alienacion,2,1,3,4
estructura,2,1,3,4
componer,1,2,3,4
rubi,2,1,3,4
creatividad,2,1,3,4
asignacion,1,2,3,4
colerico,1,2,3,4
pasatiempo,2,1,3,4
algoritmo,2,1,3,4
plata,2,1,3,4
solitario,2,1,3,4
emocion,2,1,3,4
actuar,1,2,3,4
escuela,1,2,3,4
compromiso,2,1,3,4
palabras,1,2,3,4
novela,1,2,3,4
narracion,2,1,3,4
sintaxis,2,1,3,4
apocrifo,1,2,3,4
pomposo,1,2,3,4
subconsciente,2,1,3,4
metafora,1,2,3,4
inteligencia,1,2,3,4
literatura,1,2,3,4
grado,1,2,3,4
restriccion,2,1,3,4
reclusion,2,1,3,4
pristino,1,2,3,4
sanguineo,1,2,3,4
psique,1,2,3,4
simbolo,1,2,3,4
disociar,2,1,3,4
rasgo,1,2,3,4
dorado,2,1,3,4
sujecion,2,3,1,4
avidez,3,3,1,4
profundizar,3,2,1,4
tamizar,1,2,2,4
